epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.108,1.45822,1.81507,1.56272,0.30669,0.37607,0.25006,0.11062,2.01182,3.31679,2.17073,0.0670544,0.000332784,0.000332784
2,307.87,1.46123,1.83065,1.60037,0.47604,0.51759,0.41824,0.20129,1.75917,2.01271,1.86293,0.0340478,0.000659523,0.000659523
3,457.807,1.37984,1.66875,1.54146,0.63633,0.55998,0.58735,0.29221,1.71184,1.70063,1.82855,0.00103458,0.000979662,0.000979662
4,606.813,1.3199,1.56363,1.50741,0.65432,0.57054,0.60482,0.32367,1.6404,1.58075,1.76511,0.0009703,0.0009703,0.0009703
5,756.885,1.26132,1.43474,1.45115,0.78851,0.69317,0.76361,0.4371,1.44832,1.25198,1.57728,0.0009604,0.0009604,0.0009604
6,907.005,1.22679,1.3563,1.42269,0.8055,0.76015,0.81457,0.48476,1.40142,1.05446,1.52755,0.0009505,0.0009505,0.0009505
7,1056.93,1.19305,1.29458,1.39865,0.79687,0.7392,0.79709,0.46999,1.40395,1.09438,1.52304,0.0009406,0.0009406,0.0009406
8,1206,1.16226,1.22704,1.37492,0.82725,0.79702,0.84937,0.52004,1.31769,0.94936,1.45073,0.0009307,0.0009307,0.0009307
9,1354.6,1.14444,1.19618,1.36411,0.83269,0.78458,0.85685,0.52668,1.32392,0.92627,1.46298,0.0009208,0.0009208,0.0009208
10,1504.13,1.12496,1.15703,1.3532,0.8631,0.819,0.87289,0.52873,1.33611,0.90094,1.46703,0.0009109,0.0009109,0.0009109
11,1654.46,1.10675,1.1206,1.33643,0.86424,0.855,0.88944,0.56614,1.23583,0.77727,1.39301,0.000901,0.000901,0.000901
12,1804.82,1.08807,1.08422,1.31678,0.88606,0.86367,0.91533,0.60358,1.18184,0.73567,1.35247,0.0008911,0.0008911,0.0008911
13,1955.2,1.08782,1.07755,1.32216,0.89928,0.85622,0.91717,0.60454,1.19899,0.74105,1.37284,0.0008812,0.0008812,0.0008812
14,2106.09,1.06699,1.04117,1.30244,0.8965,0.87909,0.92382,0.61506,1.16925,0.69695,1.32435,0.0008713,0.0008713,0.0008713
15,2256.33,1.05464,1.01967,1.29252,0.90579,0.88836,0.93426,0.62495,1.1633,0.65491,1.32787,0.0008614,0.0008614,0.0008614
16,2406.87,1.03843,1.00688,1.28378,0.91436,0.89219,0.93572,0.62806,1.14246,0.64712,1.30296,0.0008515,0.0008515,0.0008515
17,2557.06,1.03678,0.9908,1.28304,0.93223,0.89479,0.94438,0.64706,1.11985,0.6223,1.2925,0.0008416,0.0008416,0.0008416
18,2707.29,1.02558,0.97332,1.27567,0.91945,0.90356,0.94779,0.65712,1.09474,0.60179,1.27979,0.0008317,0.0008317,0.0008317
19,2857.39,1.01288,0.95468,1.26847,0.92491,0.90359,0.94587,0.66282,1.0815,0.58706,1.27566,0.0008218,0.0008218,0.0008218
20,3007.35,1.01289,0.94539,1.26426,0.92844,0.90426,0.94624,0.6558,1.09752,0.58034,1.27505,0.0008119,0.0008119,0.0008119
21,3156.21,0.99924,0.9234,1.25319,0.93326,0.91407,0.95326,0.67578,1.05397,0.55079,1.25506,0.000802,0.000802,0.000802
22,3305.34,0.99271,0.91032,1.24538,0.93019,0.91441,0.95323,0.67563,1.05808,0.54324,1.25145,0.0007921,0.0007921,0.0007921
23,3454.14,0.97585,0.89829,1.24101,0.92828,0.91955,0.95427,0.68542,1.03408,0.54049,1.23166,0.0007822,0.0007822,0.0007822
24,3602.94,0.97757,0.88719,1.23643,0.93615,0.91779,0.95777,0.68692,1.03881,0.52116,1.23053,0.0007723,0.0007723,0.0007723
25,3751.93,0.96484,0.86733,1.22531,0.94255,0.92127,0.95829,0.69004,1.02867,0.51036,1.22614,0.0007624,0.0007624,0.0007624
26,3901.78,0.95417,0.86098,1.22446,0.94301,0.92896,0.96048,0.69671,1.02115,0.50553,1.215,0.0007525,0.0007525,0.0007525
27,4051.91,0.95184,0.84042,1.21865,0.93975,0.93268,0.95896,0.69737,1.0079,0.49403,1.2086,0.0007426,0.0007426,0.0007426
28,4202.07,0.9424,0.8345,1.20965,0.93589,0.93831,0.95915,0.7004,0.99983,0.48923,1.20378,0.0007327,0.0007327,0.0007327
29,4352.29,0.93484,0.82577,1.20722,0.9475,0.93422,0.96278,0.70853,0.98768,0.47447,1.20138,0.0007228,0.0007228,0.0007228
30,4501.99,0.92431,0.82376,1.20167,0.94833,0.92896,0.96129,0.70924,0.97743,0.4691,1.19459,0.0007129,0.0007129,0.0007129
